file_index,tile_id,unique_number,Memo,Scale,Significant,Marginal,Subtraction,Error
0,T00434,358,,zscale,0,0,0,0
1,T00434,382,nan,zscale,0,0,0,0
2,T00434,470,nan,zscale,0,0,0,0
3,T00434,481,nan,zscale,0,0,0,0
4,T00434,488,nan,zscale,0,0,0,0
5,T00434,504,nan,zscale,0,0,0,0
6,T00434,540,nan,zscale,0,0,0,0
7,T00434,567,nan,zscale,0,0,0,0
8,T00434,593,nan,zscale,0,0,0,0
9,T00434,597,nan,zscale,0,0,0,0
10,T00434,616,nan,zscale,0,0,0,0
11,T00434,712,nan,zscale,0,0,0,0
12,T00434,713,nan,zscale,0,0,0,0
13,T00434,737,nan,zscale,0,0,0,0
14,T00434,790,nan,zscale,0,0,0,0
15,T00434,803,nan,zscale,0,0,0,0
16,T00434,804,nan,zscale,0,0,0,0
17,T00434,848,nan,zscale,0,0,0,0
18,T00434,856,nan,zscale,0,0,0,0
19,T00434,870,nan,zscale,0,0,0,0
20,T00434,880,nan,zscale,0,0,0,0
21,T00434,929,nan,zscale,0,0,0,0
22,T00434,937,nan,zscale,0,0,0,0
23,T00434,970,nan,zscale,0,0,0,0
24,T00434,984,nan,zscale,0,0,0,0
25,T00434,997,nan,zscale,0,0,0,0
26,T00434,1007,nan,zscale,0,0,0,0
27,T00434,1052,nan,zscale,0,0,0,0
28,T00434,1066,nan,zscale,0,0,0,0
29,T00434,1087,nan,zscale,0,0,0,0
30,T00434,1093,nan,zscale,0,0,0,0
31,T00434,1097,nan,zscale,0,0,0,0
32,T00434,1118,nan,zscale,0,0,0,0
33,T00434,1132,nan,zscale,0,0,0,0
34,T00434,1134,nan,zscale,0,0,0,0
35,T00434,1141,nan,zscale,0,0,0,0
36,T00434,1176,nan,zscale,0,0,0,0
37,T00434,1187,nan,zscale,0,0,0,0
38,T00434,1189,nan,zscale,0,0,0,0
39,T00434,1214,nan,zscale,0,0,0,0
40,T00434,1253,nan,zscale,0,0,0,0
41,T00434,1306,nan,zscale,0,0,0,0
42,T00434,1315,nan,zscale,0,0,0,0
43,T00434,1317,nan,zscale,0,0,0,0
44,T00434,1344,nan,zscale,0,0,0,0
45,T00434,1357,nan,zscale,0,0,0,0
46,T00434,1358,nan,zscale,0,0,0,0
47,T00434,1375,nan,zscale,0,0,0,0
48,T00434,1377,nan,zscale,0,0,0,0
49,T00434,1390,nan,zscale,0,0,0,0
50,T00434,1404,nan,zscale,0,0,0,0
51,T00434,1412,nan,zscale,0,0,0,0
52,T00434,1446,nan,zscale,0,0,0,0
53,T00434,1484,nan,zscale,0,0,0,0
54,T00434,1486,nan,zscale,0,0,0,0
55,T00434,1507,nan,zscale,0,0,0,0
56,T00434,1509,nan,zscale,0,0,0,0
57,T00434,1510,nan,zscale,0,0,0,0
58,T00434,1539,nan,zscale,0,0,0,0
59,T00434,1551,nan,zscale,0,0,0,0
60,T00434,1552,nan,zscale,0,0,0,0
61,T00434,1591,nan,zscale,0,0,0,0
62,T00434,1597,nan,zscale,0,0,0,0
63,T00434,1616,nan,zscale,0,0,0,0
64,T00434,1626,nan,zscale,0,0,0,0
65,T00434,1630,nan,zscale,0,0,0,0
66,T00434,1668,nan,zscale,0,0,0,0
67,T00434,1670,nan,zscale,0,0,0,0
68,T00434,1672,nan,zscale,0,0,0,0
69,T00434,1699,nan,zscale,0,0,0,0
70,T00434,1700,nan,zscale,0,0,0,0
71,T00434,1717,nan,zscale,0,0,0,0
72,T00434,1718,nan,zscale,0,0,0,0
73,T00434,1759,nan,zscale,0,0,0,0
74,T00434,1761,nan,zscale,0,0,0,0
75,T00434,1777,nan,zscale,0,0,0,0
76,T00434,1789,nan,zscale,0,0,0,0
77,T00434,1790,nan,zscale,0,0,0,0
78,T00434,1797,nan,zscale,0,0,0,0
79,T00434,1799,nan,zscale,0,0,0,0
80,T00434,1809,nan,zscale,0,0,0,0
81,T00434,1812,nan,zscale,0,0,0,0
82,T00434,1826,nan,zscale,0,0,0,0
83,T00434,1827,nan,zscale,0,0,0,0
84,T00434,1851,nan,zscale,0,0,0,0
85,T00434,1890,nan,zscale,0,0,0,0
86,T00434,1893,nan,zscale,0,0,0,0
87,T00434,1904,nan,zscale,0,0,0,0
88,T00434,1924,nan,zscale,0,0,0,0
89,T00434,1925,nan,zscale,0,0,0,0
90,T00434,1937,nan,zscale,0,0,0,0
91,T00434,1940,nan,zscale,0,0,0,0
92,T00434,1943,nan,zscale,0,0,0,0
93,T00434,1966,nan,zscale,0,0,0,0
94,T00434,1969,nan,zscale,0,0,0,0
95,T00434,1978,nan,zscale,0,0,0,0
96,T00434,1980,nan,zscale,0,0,0,0
97,T00434,2003,nan,zscale,0,0,0,0
98,T00434,2026,nan,zscale,0,0,0,0
99,T00434,2027,nan,zscale,0,0,0,0
100,T00434,2040,nan,zscale,0,0,0,0
101,T00434,2042,nan,zscale,0,0,0,0
102,T00434,2048,nan,zscale,0,0,0,0
103,T00434,2057,nan,zscale,0,0,0,0
104,T00434,2072,nan,zscale,0,0,0,0
105,T00434,2075,nan,zscale,0,0,0,0
106,T00434,2084,nan,zscale,0,0,0,0
107,T00434,2095,nan,zscale,0,0,0,0
108,T00434,2097,nan,zscale,0,0,0,0
109,T00434,2107,nan,zscale,0,0,0,0
110,T00434,2130,nan,zscale,0,0,0,0
111,T00434,2167,nan,zscale,0,0,0,0
112,T00434,2177,nan,zscale,0,0,0,0
113,T00434,2182,nan,zscale,0,0,0,0
114,T00434,2183,nan,zscale,0,0,0,0
115,T00434,2191,nan,zscale,0,0,0,0
116,T00434,2195,nan,zscale,0,0,0,0
117,T00434,2206,nan,zscale,0,0,0,0
118,T00434,2264,nan,zscale,0,0,0,0
119,T00434,2266,nan,zscale,0,0,0,0
120,T00434,2270,nan,zscale,0,0,0,0
121,T00434,2282,nan,zscale,0,0,0,0
122,T00434,2298,nan,zscale,0,0,0,0
123,T00434,2301,nan,zscale,0,0,0,0
124,T00434,2307,nan,zscale,0,0,0,0
125,T00434,2310,nan,zscale,0,0,0,0
126,T00434,2319,nan,zscale,0,0,0,0
127,T00434,2323,nan,zscale,0,0,0,0
128,T00434,2335,nan,zscale,0,0,0,0
129,T00434,2340,nan,zscale,0,0,0,0
130,T00434,2349,nan,zscale,0,0,0,0
131,T00434,2358,nan,zscale,0,0,0,0
132,T00434,2365,nan,zscale,0,0,0,0
133,T00434,2369,nan,zscale,0,0,0,0
134,T00434,2381,nan,zscale,0,0,0,0
135,T00434,2395,nan,zscale,0,0,0,0
136,T00434,2402,nan,zscale,0,0,0,0
137,T00434,2408,nan,zscale,0,0,0,0
138,T00434,2409,nan,zscale,0,0,0,0
139,T00434,2412,nan,zscale,0,0,0,0
140,T00434,2445,nan,zscale,0,0,0,0
141,T00434,2448,nan,zscale,0,0,0,0
142,T00434,2452,nan,zscale,0,0,0,0
143,T00434,2457,nan,zscale,0,0,0,0
144,T00434,2463,nan,zscale,0,0,0,0
145,T00434,2464,nan,zscale,0,0,0,0
146,T00434,2466,nan,zscale,0,0,0,0
147,T00434,2493,nan,zscale,0,0,0,0
148,T00434,2501,nan,zscale,0,0,0,0
